# x	y	u	v	flags	mask
2.4865e-01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.2163e-01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.9461e-01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7406e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1136e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4865e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8595e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2325e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6055e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9785e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3514e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7244e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0974e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.4704e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.8433e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.2163e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.5893e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.9623e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
7.3353e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
7.7082e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.0812e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.4542e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.8272e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.2002e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.5731e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.9461e+00	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
